month,IDCARD,no_mec
2017-09,6436467,34
2017-10,7965920,42
2018-01,4624360,43
2018-02,4154792,32
2018-03,3750211,33
2018-04,3781829,40
2018-06,4524850,51
2018-07,5289557,59
2018-08,6242857,79
2018-09,7892202,103
