index,MEC_NO,IDCARD_x,term_day,amt_median,amt_repay_median,no_mec,amt_1st,IDCARD_y,term_amt_repay_median,term_amt_1st,rate_amt_repay_median,rate_amt_1st
12.0,10013779221,798634.0,28.812725694444445,1760.0,645.0,10013779221,1344.0,1513644,3.0,1.0,1.259603621720573,-2.9942577522043337
47.0,10015441728,244167.0,14.125717592592592,1120.0,1816.8,10015441728,1312.14,121996,1.0,1.0,16.07579518482111,4.432840537904033
165.0,10019331834,158077.0,14.093298611111114,850.0,1009.24,10019331834,1009.24,123792,1.0,1.0,4.85191801427201,4.85191801427201
447.0,10023714202,109710.0,7.507418981481482,990.0,1542.0,10023714202,1056.0,99906,1.0,1.0,27.108537836660172,3.241238219600673
43.0,10015307974,104621.0,111.99476851851853,2000.0,1427.02,10015307974,1427.02,119683,1.0,1.0,-0.9336940589569536,-0.9336940589569536
7.0,10013513422,103737.0,31.877997685185186,2000.0,1146.41,10013513422,704.32,40775,2.0,3.0,1.6763803839798666,0.6466905545193827
196.0,10021312187,101304.0,8.589560185185185,1100.0,1357.34,10021312187,1317.84,80479,1.0,1.0,9.941148215756979,8.415247250021373
257.0,10022451722,98965.0,6.208408564814816,1200.0,1609.34,10022451722,1307.59,68197,1.0,1.0,20.054669732749318,5.271124044917423
539.0,10024373333,93976.0,6.908240740740742,1890.0,2410.0,10024373333,1400.0,46082,1.0,1.0,14.536737237751858,-13.698079320189251
599.0,10024550082,86443.0,6.994380787037038,1960.0,3080.0,10024550082,1680.0,54641,1.0,1.0,29.819856099053432,-7.454964024763358
63.0,10015691233,86307.0,13.738831018518518,2970.0,3616.0,10015691233,2523.8,98726,1.0,1.0,5.77855366905395,-3.9913167912258065
185.0,10020981510,83212.0,9.595891203703703,1776.0,2633.0,10020981510,1675.5,56837,1.0,1.0,18.35462050397793,-2.1524379937570384
219.0,10021902553,82736.0,1.8046817129629629,688.8,1117.0,10021902553,607.2,189070,1.0,1.0,125.73198480105115,-23.960135356762642
90.0,10015924266,80778.0,6.81337962962963,805.0,2000.0,10015924266,1000.0,67442,0.0,1.0,-53.57106455843282,12.97684172533466
631.0,10024641718,78520.0,6.848483796296296,1750.0,2300.0,10024641718,1210.0,37608,1.0,1.0,16.750318629113778,-16.445767381311708
76.0,10015767991,75586.0,55.058634259259264,2000.0,1050.1,10015767991,1050.1,69833,2.0,2.0,0.3321277442860782,0.3321277442860782
332.0,10023046296,75187.0,5.988171296296296,1480.0,3500.0,10023046296,1500.0,59285,0.0,1.0,-60.95350014882736,0.8236959479571265
619.0,10024616123,72034.0,6.860729166666666,1680.0,1740.0,10024616123,1100.0,22213,1.0,2.0,1.9000479349992734,16.467082103327037
38.0,10015071983,69751.0,61.24958333333333,972.0,525.0,10015071983,1000.0,88868,2.0,1.0,0.47820935037854884,0.1716648950076842
376.0,10023235693,65520.0,6.779641203703704,1050.0,1020.0,10023235693,1000.0,24247,1.0,1.0,-1.5382187810874592,-2.5636979684790986
52.0,10015577479,65051.0,13.062355324074073,846.56,1000.0,10015577479,1000.0,72133,1.0,1.0,5.064682403391191,5.064682403391191
346.0,10023064460,62942.0,6.04150462962963,1184.0,3000.0,10023064460,1500.0,42239,0.0,1.0,-60.4154134402072,16.124383992487733
671.0,10025004983,60825.0,12.567002314814815,1100.0,1317.84,10025004983,1317.84,10095,1.0,1.0,5.75183093919386,5.75183093919386
304.0,10022869094,59465.0,7.121168981481483,1530.0,3600.0,10022869094,1150.0,48118,0.0,1.0,-51.255629651420755,-12.730156384012998
211.0,10021673823,58694.0,14.02875,1261.0,768.0,10021673823,409.0,45840,2.0,3.0,5.6740282767283645,-0.7015162233045978
23.0,10014499846,56995.0,34.38162037037037,6000.0,2100.0,10014499846,1606.8,158,3.0,4.0,0.5308068614394803,0.7558689706898196
177.0,10020666329,56878.0,6.8053587962962965,800.0,2013.6,10020666329,1006.8,57033,0.0,1.0,-53.6342037099712,13.864441659027554
388.0,10023297408,56083.0,6.044710648148147,1480.0,3000.0,10023297408,1500.0,48917,0.0,1.0,-60.383370064507744,0.8159914873582128
632.0,10024645055,51177.0,6.298263888888888,1400.0,1100.0,10024645055,1000.0,8178,1.0,1.0,-12.41838816126263,-16.557850881683507
344.0,10023062093,49397.0,7.000127314814815,1050.0,1800.0,10023062093,1000.0,49963,1.0,1.0,37.24422056760589,-2.4829480378403925
29.0,10014789504,47238.0,13.836747685185184,846.56,957.16,10014789504,1008.4,54400,1.0,1.0,3.4463249616805265,5.042976779370493
581.0,10024500660,44684.0,6.664664351851854,1400.0,1530.0,10024500660,1500.0,9803,1.0,1.0,5.085455974004096,3.911889210772381
446.0,10023711711,43964.0,6.335659722222222,1470.0,1700.0,10023711711,1000.0,43361,1.0,1.0,9.013874804088143,-18.41965720835403
414.0,10023471494,43811.0,6.859826388888888,1600.0,2000.0,10023471494,1000.0,39795,1.0,2.0,13.302085916897395,13.302085916897395
221.0,10022031282,43037.0,8.075486111111111,825.0,1200.0,10022031282,800.0,30303,1.0,1.0,20.544780664140525,-1.3696520442760352
331.0,10023025664,41430.0,7.0168171296296284,1700.0,1637.67,10023025664,798.0,30085,1.0,2.0,-1.907220524609167,-3.1822707293334447
126.0,10017309950,38990.0,7.297858796296296,1120.0,1400.0,10017309950,1992.0,36521,1.0,1.0,12.503667520438993,38.93999313508144
546.0,10024394601,35522.0,6.6906944444444445,1600.0,2064.0,10024394601,1128.0,28140,1.0,1.0,15.820480352064433,-16.093247254686233
383.0,10023267190,35128.0,6.1377141203703705,2100.0,3000.0,10023267190,900.0,31389,1.0,2.0,25.48645446183342,-8.495484820611141
262.0,10022468641,34217.0,2.2814699074074074,2500.0,1654.4,10022468641,530.25,78010,2.0,5.0,51.7582106240393,9.679066959552351
73.0,10015763879,32585.0,30.030428240740736,1300.0,1215.98,10015763879,1013.32,58281,1.0,1.0,-0.7855442679710811,-2.6803121964050174
443.0,10023665891,30903.0,6.266886574074074,840.0,1000.0,10023665891,1000.0,17602,1.0,1.0,11.093835623486068,11.093835623486068
618.0,10024616033,30832.0,6.182974537037038,2030.0,2600.0,10024616033,1520.0,33483,1.0,1.0,16.575789551638277,-14.83096959883425
198.0,10021340126,30187.0,6.43025462962963,850.0,1720.0,10021340126,1000.0,28836,0.0,1.0,-56.762915471206355,10.016985083154063
490.0,10023960175,30119.0,6.859421296296296,1600.0,2000.0,10023960175,1032.0,28184,1.0,2.0,13.302871489941856,15.431330928332551
136.0,10017740966,28409.0,20.048553240740738,1615.0,2010.0,10017740966,1717.0,24542,1.0,1.0,4.452812367479094,1.1498401556528295
70.0,10015706162,28210.0,19.137471064814815,1500.0,1500.0,10015706162,1070.0,162228,1.0,1.0,0.0,-5.467458734697025
384.0,10023267469,28100.0,6.331041666666668,1400.0,2000.0,10023267469,600.0,18969,1.0,2.0,24.70818858327496,-8.236062861091654
674.0,10025005641,27074.0,12.125567129629632,1000.0,1013.72,10025005641,1013.72,3050,1.0,1.0,0.4129951157305556,0.4129951157305556
559.0,10024419511,25982.0,6.0932349537037025,1400.0,1100.0,10024419511,1000.0,11670,1.0,1.0,-12.836249760358259,-17.114999680477677
93.0,10015994345,25691.0,14.091851851851851,800.0,2000.0,10015994345,1000.0,7851,0.0,1.0,-25.90149285113541,6.475373212783852
218.0,10021868071,25596.0,8.892997685185183,750.0,1200.0,10021868071,618.0,28878,1.0,1.0,24.626116834015534,-7.22366093797789
465.0,10023838923,25397.0,7.311145833333334,1200.0,420.0,10023838923,210.0,14231,3.0,6.0,2.4961887529029596,2.4961887529029596
556.0,10024412372,25344.0,7.346782407407407,1560.0,1800.0,10024412372,1707.75,29738,1.0,1.0,7.643325069383971,4.705421995839507
337.0,10023049365,25040.0,6.1094733796296286,840.0,1326.17,10023049365,1204.73,8144,1.0,1.0,34.577847770080176,25.94067593060316
682.0,10025092211,24261.0,6.1874016203703714,1400.0,1500.0,10025092211,1050.0,6480,1.0,1.0,4.213631209196982,-14.747709232189436
397.0,10023333230,23785.0,6.2388715277777775,1050.0,1500.0,10023333230,450.0,18197,1.0,2.0,25.073215682049746,-8.357738560683249
400.0,10023338543,23594.0,6.788912037037037,1750.0,2000.0,10023338543,1002.47,14097,1.0,2.0,7.680591066490596,7.832359545964453
223.0,10022075025,23560.0,13.303611111111113,1840.0,1700.0,10022075025,800.0,18795,1.0,2.0,-2.0875338957585705,-3.57862953558612
89.0,10015923927,23372.0,7.525607638888888,1500.0,1500.0,10015923927,1500.0,310,1.0,1.0,0.0,0.0
378.0,10023247026,23210.0,14.100949074074073,1500.0,1500.0,10023247026,1500.0,14094,1.0,1.0,0.0,0.0
577.0,10024495321,22868.0,6.1043865740740735,1500.0,2060.0,10024495321,1635.0,15281,1.0,1.0,22.32274529359011,5.381376097561901
345.0,10023062296,22791.0,6.055509259259258,1050.0,1200.0,10023062296,1000.0,38885,1.0,1.0,8.6108128830168,-2.8702709610056
502.0,10024043198,21997.0,0.0,300.0,900.0,10024043198,600.0,356525,0.0,0.0,-inf,-inf
672.0,10025004998,21788.0,6.16089699074074,1125.15,504.85,10025004998,909.8,1220,2.0,1.0,-6.079004007327527,-11.339224885041
137.0,10017908304,21068.0,9.888449074074074,1650.0,900.0,10017908304,560.0,21861,2.0,3.0,3.3556140030913015,0.6711228006182602
427.0,10023537376,20869.0,7.090821759259258,950.0,1200.0,10023537376,200.0,14000,1.0,5.0,13.546050773807842,2.7092101547615686
311.0,10022885866,20329.0,6.172430555555557,1360.0,3800.0,10022885866,1500.0,14190,0.0,1.0,-59.13391762204244,6.087315049327898
