no_mec,IDCARD,fpd,amt_mean
10012448854,98.85714285714286,0.7474048442906575,464.0239161849711
10012469117,3118.0,0.083212874626578,1982.2102389351824
10012470020,1036426.3333333334,0.5733854281506046,999.2031104947379
10012472954,2778.8888888888887,0.5754434630264983,2112.754241503397
10012484398,1.0,1.0,56.0
10012520683,72.0,0.875,3663.8109722222225
10012571557,12.11111111111111,0.6363636363636364,2126.0418348623853
10012637092,4833.444444444444,0.39717194570135744,1396.8190731247553
10012713616,863.0,0.7569707401032703,230.95558001802485
10012718466,365.44444444444446,0.06239600665557404,1465.184478564914
10012996445,55014.77777777778,0.9115318028309823,1561.814995364082
10013199382,1249.7777777777778,0.680373831775701,2153.7524048719765
10013201786,1013.5,0.0049261083743842365,1071.737508633444
10013204118,949.1111111111111,0.5784832451499118,477.85005033949875
10013262195,43.6,0.3181818181818182,114.74311926605505
10013270743,2.0,1.0,3851.496666666666
10013270932,435.22222222222223,0.8814669286182056,401.1547791677311
10013391219,602.7777777777778,0.27229601518026564,1369.4610820276505
10013441711,75.44444444444444,0.7711864406779662,1298.9055670103096
10013478608,6.5,0.8888888888888888,1782.3323076923077
10013490635,137.55555555555554,0.43812709030100333,2123.5468497576735
10013492145,188.77777777777777,0.7421875,1248.1766568569747
10013510174,197.83333333333334,0.6879120879120879,19224.346916596467
10013513422,5079.888888888889,0.9404063528401774,1306.8176215577676
10013526944,3553.1111111111113,0.7679447574050517,6916.739113765714
10013572454,57.333333333333336,0.24305555555555555,1706.0676162790694
10013607604,8.142857142857142,1.0,29.65912280701754
10013609991,12677.555555555555,0.6618584564763947,2160.058843012064
10013610881,17.0,0.40336134453781514,2034.163193277311
10013631809,50335.77777777778,0.2338257768721345,587.7277875246677
10013642751,60656.333333333336,0.812229213261288,1721.2845017375053
10013687590,122325.16666666667,0.2817616522519089,906.4079115363303
10013707856,8538.0,0.8458655422815647,752.5540477863647
10013712386,2743.4444444444443,0.1406525203388409,257.255032602971
10013748443,1.0,0.0,434.85
10013779221,103462.22222222222,0.5802714984514747,1210.687830608904
10013786972,7.555555555555555,0.75,3409.6952941176464
10013798254,17876.666666666668,0.3112135944386387,1321.2878213685963
10013799038,1366.0,0.8736810370817003,2085.0771595900437
10013807318,57.0,0.8282208588957055,1973.9933918128654
10013831924,4006.3333333333335,0.33771896274764784,1830.3090994813904
10013922543,21876.88888888889,0.8307848676442013,834.1953682729165
10013964842,6095.222222222223,0.5442534041080083,1227.1236000874671
10014048472,55433.444444444445,0.7903443983666004,1698.4287694552918
10014130505,57.5,0.14516129032258066,333.6595652173912
10014136879,7236.571428571428,0.4004265828468792,478.82668055115704
10014144432,724451.0,0.9137144877468376,955.7076805440067
10014173172,176318.0,0.37525001969979194,2779.216767640009
10014199662,33148.22222222222,0.17173784355179705,850.0261938967633
10014202877,265.1111111111111,0.31693198263386396,2840.545016764461
10014214480,16.0,0.9375,1703.251875
10014227259,72927.66666666667,0.39255649091714667,569.1211633597247
10014323811,1044.111111111111,0.8206904790347629,1735.2417111844172
10014358888,104926.625,0.17980005690489123,1019.792342005705
