no_mec,month,flag_overdue,IDCARD,fpd
10013490635,2018-01,243,486,0.5
10013490635,2018-02,12,43,0.27906976744186046
10013490635,2018-03,3,24,0.125
10013490635,2018-04,1,1,1.0
10013490635,2018-05,1,2,0.5
10013490635,2018-06,1,1,1.0
10013490635,2018-07,0,2,0.0
10013490635,2018-08,0,38,0.0
10013490635,2018-09,1,1,1.0
10013492145,2018-01,144,203,0.7093596059113301
10013492145,2018-02,20,23,0.8695652173913043
10013492145,2018-03,9,11,0.8181818181818182
10013492145,2018-04,17,19,0.8947368421052632
10013510174,2018-01,199,246,0.8089430894308943
10013510174,2018-02,29,46,0.6304347826086957
10013510174,2018-03,13,29,0.4482758620689655
10013510174,2018-04,6,32,0.1875
10013510174,2018-05,21,44,0.4772727272727273
10013510174,2018-06,45,58,0.7758620689655172
10013513422,2018-01,3070,3263,0.9408519767085504
10013513422,2018-02,3025,3201,0.9450171821305842
10013513422,2018-03,360,394,0.9137055837563451
10013513422,2018-04,831,887,0.9368658399098083
10013513422,2018-05,815,870,0.9367816091954023
10013513422,2018-06,3054,3243,0.9417206290471786
10013513422,2018-07,570,607,0.9390444810543658
10013513422,2018-08,1278,1354,0.9438700147710487
10013513422,2018-09,142,159,0.8930817610062893
10013526944,2018-01,2845,3918,0.7261357835630423
10013526944,2018-02,325,408,0.7965686274509803
10013526944,2018-03,133,193,0.689119170984456
10013526944,2018-04,154,168,0.9166666666666666
10013526944,2018-05,183,204,0.8970588235294118
10013526944,2018-06,171,184,0.9293478260869565
10013526944,2018-07,150,154,0.974025974025974
10013526944,2018-08,131,137,0.9562043795620438
10013526944,2018-09,134,137,0.9781021897810219
10013572454,2018-01,27,116,0.23275862068965517
10013572454,2018-02,8,21,0.38095238095238093
10013572454,2018-03,0,7,0.0
10013607604,2018-01,10,10,1.0
10013609991,2018-01,7438,10224,0.7275039123630673
10013609991,2018-02,2612,3212,0.813200498132005
10013609991,2018-03,1025,1853,0.5531570426335672
10013609991,2018-04,1264,2490,0.5076305220883535
10013609991,2018-05,2722,4630,0.5879049676025918
10013609991,2018-06,2393,4041,0.5921801534273695
10013609991,2018-07,2770,4207,0.6584264321369147
10013609991,2018-08,1519,2227,0.6820835204310732
10013609991,2018-09,786,1155,0.6805194805194805
10013610881,2018-01,21,48,0.4375
10013610881,2018-02,15,30,0.5
10013610881,2018-03,10,22,0.45454545454545453
10013610881,2018-04,1,12,0.08333333333333333
10013610881,2018-05,0,3,0.0
10013610881,2018-06,1,3,0.3333333333333333
10013610881,2018-07,0,1,0.0
10013631809,2018-01,34089,144540,0.2358447488584475
10013631809,2018-02,455,2777,0.16384587684551674
10013631809,2018-03,150,1066,0.14071294559099437
10013631809,2018-04,51,252,0.20238095238095238
10013631809,2018-05,46,237,0.1940928270042194
10013631809,2018-06,38,165,0.23030303030303031
10013631809,2018-07,34,93,0.3655913978494624
10013631809,2018-08,20,42,0.47619047619047616
10013631809,2018-09,1,16,0.0625
10013642751,2018-01,67326,85973,0.7831063240784898
10013642751,2018-02,50502,59156,0.8537088376496045
10013642751,2018-03,15936,21392,0.7449513836948392
10013642751,2018-04,13904,16557,0.8397656580298363
10013642751,2018-05,14992,21042,0.7124798023001616
10013642751,2018-06,21397,25052,0.8541034647932301
10013642751,2018-07,14661,17635,0.8313580946980437
10013642751,2018-08,9216,10023,0.9194851840766237
10013642751,2018-09,5969,6523,0.9150697531810517
10013687590,2018-01,45522,219860,0.20704994087146367
10013687590,2018-02,13592,73370,0.18525282813138885
10013687590,2018-03,455,1637,0.2779474648747709
10013687590,2018-04,9562,41809,0.22870673778373077
10013687590,2018-05,35799,62165,0.5758706667739082
10013687590,2018-06,16325,31505,0.5181717187747976
10013707856,2018-01,7222,8538,0.8458655422815647
10013712386,2018-01,1170,9641,0.12135670573591952
10013712386,2018-02,284,1423,0.19957835558678846
10013712386,2018-03,128,505,0.25346534653465347
10013712386,2018-04,59,234,0.25213675213675213
10013712386,2018-05,27,81,0.3333333333333333
10013712386,2018-06,7,29,0.2413793103448276
10013712386,2018-07,1,7,0.14285714285714285
10013712386,2018-08,1,3,0.3333333333333333
10013748443,2018-01,0,1,0.0
10013779221,2018-01,115230,228016,0.5053592730334714
10013779221,2018-02,54039,99944,0.5406927879612583
10013779221,2018-03,29128,43724,0.6661787576616961
10013779221,2018-04,16482,24618,0.669510114550329
10013779221,2018-05,30493,40005,0.7622297212848393
10013779221,2018-06,23468,31864,0.7365051468742154
10013779221,2018-07,6601,11044,0.597700108656284
10013779221,2018-08,8024,14103,0.5689569595121605
10013779221,2018-09,17252,24917,0.6923786972749528
10013786972,2018-01,6,8,0.75
10013798254,2018-01,12493,37550,0.33270306258322235
10013798254,2018-02,1188,6188,0.19198448610213317
10013798254,2018-03,18,280,0.06428571428571428
10013799038,2018-01,913,1124,0.8122775800711743
10013799038,2018-02,1360,1527,0.8906352324819908
10013799038,2018-03,326,342,0.9532163742690059
10013799038,2018-04,296,320,0.925
10013799038,2018-05,3,4,0.75
10013807318,2018-05,72,86,0.8372093023255814
10013807318,2018-06,52,65,0.8
10013807318,2018-07,11,12,0.9166666666666666
10013831924,2018-01,285,1483,0.19217801753202968
10013831924,2018-02,499,1326,0.37631975867269984
10013831924,2018-03,255,501,0.5089820359281437
10013831924,2018-04,600,1172,0.5119453924914675
10013831924,2018-05,835,3647,0.22895530573073758
10013831924,2018-06,341,1542,0.22114137483787288
10013831924,2018-07,1178,1877,0.6275972296217368
10013831924,2018-08,348,1293,0.2691415313225058
10013831924,2018-09,74,232,0.31896551724137934
10013922543,2018-01,28143,36979,0.7610535709456718
10013922543,2018-02,5118,5715,0.8955380577427822
10013922543,2018-03,1689,2226,0.7587601078167115
10013922543,2018-04,314,721,0.435506241331484
