no_mec,month,IDCARD
10013610881,2018-07,1
10013631809,2017-09,172946
10013631809,2017-10,202717
10013631809,2018-01,144472
10013631809,2018-02,117185
10013631809,2018-03,63915
10013631809,2018-04,28170
10013631809,2018-06,28828
10013631809,2018-07,21243
10013631809,2018-08,12083
10013631809,2018-09,4407
10013642751,2017-09,2956
10013642751,2017-10,18359
10013642751,2018-01,85253
10013642751,2018-02,96790
10013642751,2018-03,61127
10013642751,2018-04,49577
10013642751,2018-06,78462
10013642751,2018-07,55751
10013642751,2018-08,35893
10013642751,2018-09,30856
10013687590,2017-09,490059
10013687590,2017-10,477404
10013687590,2018-01,219859
10013687590,2018-02,147789
10013687590,2018-03,4660
10013687590,2018-04,83837
10013687590,2018-06,136848
10013707856,2017-09,181
10013707856,2017-10,650
10013707856,2018-01,8527
10013712386,2017-09,17292
10013712386,2017-10,15444
10013712386,2018-01,8855
10013712386,2018-02,5743
10013712386,2018-03,3867
10013712386,2018-04,2495
10013712386,2018-06,736
10013712386,2018-07,385
10013712386,2018-08,137
10013712386,2018-09,59
10013748443,2017-09,8
10013748443,2017-10,8
10013748443,2018-01,1
10013779221,2017-09,990861
10013779221,2017-10,1024528
10013779221,2018-01,228015
10013779221,2018-02,173491
10013779221,2018-03,121037
10013779221,2018-04,75112
10013779221,2018-06,93076
10013779221,2018-07,46411
10013779221,2018-08,44410
10013779221,2018-09,58939
10013786972,2017-09,10
10013786972,2017-10,8
10013786972,2018-01,8
10013786972,2018-02,8
10013786972,2018-03,7
10013786972,2018-04,6
10013786972,2018-06,8
10013786972,2018-07,8
10013786972,2018-08,8
10013786972,2018-09,7
10013798254,2017-09,67064
10013798254,2017-10,22053
10013798254,2018-01,37387
10013798254,2018-02,15176
10013798254,2018-03,1054
10013799038,2017-09,455
10013799038,2017-10,361
10013799038,2018-01,1123
10013799038,2018-02,2632
10013799038,2018-03,1485
10013799038,2018-04,1515
10013807318,2018-06,69
10013807318,2018-07,13
10013831924,2017-09,160
10013831924,2018-01,1468
10013831924,2018-02,1925
10013831924,2018-03,1743
10013831924,2018-04,2337
10013831924,2018-06,7196
10013831924,2018-07,4842
10013831924,2018-08,5366
10013831924,2018-09,5226
10013885007,2017-09,51
10013885007,2017-10,166
10013922543,2017-09,45377
10013922543,2017-10,59705
10013922543,2018-01,32394
10013922543,2018-02,25130
10013922543,2018-03,23634
10013922543,2018-04,16253
10013922543,2018-06,12200
10013922543,2018-07,18821
10013922543,2018-08,20845
10013922543,2018-09,17945
10013964842,2017-10,6521
10013964842,2018-01,468
10013964842,2018-02,2906
10013964842,2018-03,390
10013964842,2018-04,49
10013964842,2018-06,48
10013964842,2018-07,73
10013964842,2018-08,2740
10013964842,2018-09,47270
10014048472,2017-09,115076
10014048472,2017-10,114484
10014048472,2018-01,98819
10014048472,2018-02,95164
10014048472,2018-03,57168
10014048472,2018-04,48986
10014048472,2018-06,42482
10014048472,2018-07,32795
10014048472,2018-08,29662
10014048472,2018-09,28951
10014130505,2017-09,70
10014130505,2017-10,70
10014130505,2018-01,62
10014130505,2018-02,54
10014136879,2017-09,13854
10014136879,2017-10,18724
10014136879,2018-01,35872
10014136879,2018-02,3720
10014136879,2018-03,4374
10014136879,2018-04,4130
10014136879,2018-06,234
10014136879,2018-07,261
10014144432,2017-09,716606
10014144432,2017-10,1458766
10014144432,2018-01,296011
10014144432,2018-02,479915
10014144432,2018-03,466277
10014144432,2018-04,679682
10014144432,2018-06,737968
10014144432,2018-07,798604
10014144432,2018-08,1155373
10014144432,2018-09,1113714
10014173172,2017-09,17
10014173172,2017-10,6033
10014173172,2018-01,185279
10014173172,2018-02,228267
10014173172,2018-03,165097
10014173172,2018-04,191121
10014173172,2018-06,95296
10014173172,2018-07,108573
10014173172,2018-08,116829
10014173172,2018-09,162033
10014199662,2017-09,6798
10014199662,2017-10,11453
10014199662,2018-01,30115
10014199662,2018-02,27300
10014199662,2018-03,23111
10014199662,2018-04,22792
10014199662,2018-06,33860
10014199662,2018-07,39507
10014199662,2018-08,45988
10014199662,2018-09,47328
10014202877,2017-09,14252
10014202877,2017-10,16999
10014202877,2018-01,665
10014202877,2018-02,373
10014202877,2018-03,337
10014202877,2018-04,248
10014202877,2018-06,164
10014202877,2018-07,161
10014202877,2018-08,156
10014202877,2018-09,155
10014227259,2017-09,35824
10014227259,2017-10,42754
10014227259,2018-01,100652
10014227259,2018-02,97744
10014227259,2018-03,95420
10014227259,2018-04,86815
10014227259,2018-06,76320
10014227259,2018-07,69069
10014227259,2018-08,12133
10014227259,2018-09,9253
10014323811,2017-09,316513
10014323811,2017-10,302296
10014323811,2018-01,5158
10014323811,2018-02,1764
10014323811,2018-03,1025
10014323811,2018-04,546
10014323811,2018-06,246
10014323811,2018-07,132
10014323811,2018-08,71
10014323811,2018-09,66
10014358888,2017-10,1
10014358888,2018-01,46105
10014358888,2018-02,1356
10014358888,2018-03,95710
10014358888,2018-04,132599
10014358888,2018-06,154188
10014358888,2018-07,217056
10014358888,2018-08,20401
10014485098,2017-09,1275
10014485098,2017-10,1552
10014485098,2018-01,3048
10014485098,2018-02,3043
10014485098,2018-03,3149
10014485098,2018-04,2294
10014485098,2018-06,2498
10014485098,2018-07,1710
10014485098,2018-08,1505
10014485098,2018-09,1670
10014499846,2018-06,78
10014499846,2018-07,40
10014499846,2018-08,30
10014499846,2018-09,18
10014536627,2018-04,1
10014616858,2017-09,62506
10014616858,2017-10,68157
10014616858,2018-01,49634
10014616858,2018-02,89226
10014616858,2018-03,96689
10014616858,2018-04,94674
10014616858,2018-06,31280
10014616858,2018-07,129476
10014616858,2018-08,134567
10014616858,2018-09,118323
10014620129,2017-09,15755
10014620129,2017-10,25773
10014620129,2018-01,48156
10014620129,2018-02,5426
10014620129,2018-03,6947
10014620129,2018-04,6209
10014620129,2018-06,1345
10014620129,2018-07,1238
10014655891,2017-09,26974
10014655891,2017-10,23446
10014655891,2018-01,37923
10014655891,2018-02,38681
10014655891,2018-03,34425
10014655891,2018-04,36432
10014655891,2018-06,32944
10014655891,2018-07,802
10014655891,2018-08,577
10014655891,2018-09,92
10014693748,2017-09,12094
10014693748,2017-10,12797
10014693748,2018-01,2521
10014693748,2018-02,1203
10014693748,2018-03,486
10014693748,2018-04,249
10014693748,2018-06,76
10014693748,2018-07,33
10014693748,2018-08,41
10014693748,2018-09,128
10014700926,2017-09,227999
10014700926,2017-10,209112
10014700926,2018-01,33384
10014700926,2018-02,42196
10014700926,2018-03,69581
10014700926,2018-04,42171
10014700926,2018-06,22997
10014700926,2018-07,24480
10014700926,2018-08,22504
10014700926,2018-09,18441
10014725051,2017-09,4438
10014725051,2017-10,6445
10014725051,2018-01,31072
10014725051,2018-02,3113
10014725051,2018-03,3576
10014725051,2018-04,2268
10014725051,2018-06,386
10014725051,2018-07,451
10014732732,2017-09,752
10014732732,2017-10,1429
10014732732,2018-01,13535
10014732732,2018-02,2505
10014732732,2018-03,3096
10014732732,2018-04,2454
10014732732,2018-06,622
10014732732,2018-07,652
10014742519,2017-09,43
10014742519,2017-10,54
10014742519,2018-01,80
10014742519,2018-02,79
10014742519,2018-03,82
10014742519,2018-04,83
10014742519,2018-06,77
10014742519,2018-07,69
10014742519,2018-08,65
10014742519,2018-09,63
10014745825,2017-09,26237
10014745825,2017-10,30222
10014745825,2018-01,15253
10014745825,2018-02,13590
10014745825,2018-03,21681
10014745825,2018-04,9738
10014745825,2018-06,4072
10014745825,2018-07,6069
10014745825,2018-08,6864
10014745825,2018-09,9194
10014758227,2017-10,4879
10014758227,2018-01,10225
10014758227,2018-02,11574
10014758227,2018-03,8335
10014758227,2018-04,7761
10014758227,2018-06,3355
10014758227,2018-07,3668
