,商户编号,放款人数,扣款人数,放&扣人数,复贷人数,复贷周期（天）,放款金额（中位数）,年化利率,term,每期还款金额
219,10023727659,738.0,262,242,316,6.702974537037037,1400.0,3.889531196541455,1.0,1500.0
223,10023758798,801.0,433,431,326,6.0975925925925925,700.0,1.2185722529057788,1.0,714.25
224,10023777006,18879.0,6784,6775,12805,6.138796296296296,1275.0,10.49257241924508,1.0,1500.0
225,10023783600,4742.0,129,129,2081,6.063321759259257,750.0,20.066008616625084,1.0,1000.0
226,10023794822,19880.0,5850,5841,12574,6.104780092592592,1275.0,10.551037667030496,1.0,1500.0
227,10023797211,4582.0,876,875,2544,7.135787037037038,741.0,17.878560161421138,1.0,1000.0
228,10023838923,25397.0,14231,11822,10851,7.311145833333334,1200.0,2.49618875290296,3.0,420.0
230,10023843102,10110.0,2944,2719,5037,7.133472222222222,1300.0,7.871881238832817,1.0,1500.0
231,10023848428,646.0,367,355,354,6.1526157407407425,400.0,14.831090359791265,1.0,500.0
233,10023850661,12010.0,4121,4118,6995,6.166429398148147,1500.0,19.730488879545856,1.0,2000.0
234,10023866673,15817.0,5768,5729,10021,7.126527777777778,1200.0,2.0486835181540024,1.0,1248.0
235,10023870299,13556.0,7114,7083,4988,8.097349537037038,1000.0,15.326002592869465,1.0,1340.0
236,10023881264,11074.0,2608,2606,6134,6.121597222222222,1275.0,10.522052067074746,1.0,1500.0
240,10023933195,911.0,299,268,475,6.167638888888887,1000.0,17.753957709370148,1.0,1300.0
241,10023938668,830.0,159,159,366,6.072552083333332,1190.0,15.658002156031252,1.0,1500.0
244,10023946510,1026.0,640,640,376,6.987395833333332,1059.0,22.09340329213954,1.0,1506.9
246,10023960175,30119.0,28184,27879,14673,6.859421296296296,1600.0,13.302871489941854,1.0,2000.0
248,10024030489,1372.0,868,709,477,6.048298611111113,700.0,25.863235512413713,1.0,1000.0
252,10024070832,4074.0,1095,1095,1737,6.0984895833333335,750.0,19.950295069646682,1.0,1000.0
255,10024156227,3335.0,1941,1767,1320,6.3307986111111125,900.0,6.406072605812633,1.0,1000.0
256,10024157765,2265.0,368,357,1226,6.034201388888889,750.0,20.162844894553615,1.0,1000.0
264,10024295979,16398.0,4787,4783,4150,7.33925925925926,750.0,16.577513120710535,1.0,1000.0
268,10024323741,7866.0,488,488,4388,6.076180555555558,1275.0,10.600699587011047,1.0,1500.0
269,10024331130,2806.0,503,503,1464,6.1881828703703725,1140.0,18.93263320516835,1.0,1505.92
270,10024369384,14171.0,6818,6445,6524,6.08931712962963,800.0,11.98820794614126,1.0,960.0
271,10024369482,8497.0,1181,1181,5262,7.140532407407408,800.0,0.0,1.0,800.0
275,10024380125,4685.0,1225,1225,2489,6.029658564814817,1000.0,16.94955011157233,1.0,1280.0
278,10024394724,3309.0,729,724,995,4.729988425925926,600.0,38.583603925896384,1.0,900.0
279,10024396095,983.0,709,708,381,6.6139120370370375,1275.0,9.73882996102533,1.0,1500.0
280,10024396132,1116.0,375,368,277,6.086967592592592,410.0,13.16286804566118,1.0,500.0
281,10024403042,1976.0,958,913,954,6.999027777777778,800.0,13.037525053082767,1.0,1000.0
282,10024410984,770.0,326,304,442,6.09879050925926,750.0,19.630121713188807,1.0,996.0
283,10024412372,25344.0,29738,6384,961,7.3467824074074075,1560.0,4.705421995839507,1.0,1707.75
291,10024427843,4227.0,2345,2345,1602,6.957291666666666,1050.0,22.484118666181846,1.0,1500.0
294,10024442411,1981.0,1754,1339,532,6.031655092592592,960.0,0.0,4.0,240.0
295,10024475689,557.0,264,262,142,6.947679398148147,720.0,8.755921200040984,3.0,280.0
296,10024485532,1906.0,723,476,652,6.035729166666667,500.0,24.189289474138373,1.0,700.0
297,10024490521,1637.0,584,580,309,6.0242708333333335,750.0,20.196081821797247,1.0,1000.0
298,10024495321,22868.0,15281,14075,15774,6.1043865740740735,1500.0,5.381376097561902,1.0,1635.0
299,10024495951,560.0,404,400,151,6.174016203703704,1390.0,25.944191079223003,1.0,2000.0
300,10024499021,4721.0,717,708,2541,6.0342824074074075,1065.3,25.018398860888855,1.0,1505.92
302,10024500660,44684.0,9803,9801,18836,6.664664351851854,1400.0,3.9118892107723813,1.0,1500.0
303,10024510475,430.0,366,338,281,6.0353819444444445,720.0,23.850499657689895,1.0,1003.95
304,10024514323,1136.0,1120,1120,340,6.167175925925926,750.0,3.9456201064476657,1.0,800.0
305,10024516138,1261.0,991,991,631,7.078408564814817,800.0,12.891315775919368,1.0,1000.0
306,10024516173,1315.0,668,668,354,6.77287037037037,1050.0,23.096348058410754,1.0,1500.0
307,10024519444,8741.0,1535,1535,5063,6.111481481481483,800.0,14.93091327798315,1.0,1000.0
309,10024548814,13672.0,8450,8446,8265,6.059646990740743,1125.0,20.07817730184212,1.0,1500.0
312,10024552093,1772.0,540,539,760,6.0747685185185185,1110.0,21.11080329271847,1.0,1500.0
313,10024563164,2888.0,2629,2264,1690,6.16074074074074,1800.0,6.582902488878203,1.0,2000.0
314,10024581998,538.0,387,302,235,6.3968055555555585,1125.0,0.0,3.0,375.0
318,10024597657,1756.0,321,321,575,5.061805555555555,700.0,0.0,1.0,700.0
319,10024602164,2639.0,471,399,793,6.1729976851851855,730.0,21.869439595610363,1.0,1000.0
320,10024605227,3225.0,733,732,1854,6.069490740740743,1190.0,15.665899772316154,1.0,1500.0
322,10024616123,72034.0,22213,22142,42100,6.860729166666666,1680.0,1.9000479349992732,1.0,1740.0
323,10024616734,1729.0,481,478,1105,13.25480324074074,1400.0,1.8685948552392844,5.0,299.0
327,10024649352,18252.0,5928,5928,8656,6.200219907407408,1750.0,8.40983996076688,1.0,2000.0
328,10024650494,10328.0,7164,7164,2295,5.9612731481481465,1600.0,15.307132844323124,1.0,2000.0
329,10024651809,7811.0,1037,1037,3263,6.06916087962963,1125.0,20.608010862444946,1.0,1510.5
331,10024671413,731.0,218,213,387,7.0621643518518535,800.0,12.920968056495635,1.0,1000.0
332,10024671761,20300.0,4912,3995,13017,7.137557870370372,1440.0,3.551245773774293,1.0,1540.0
333,10024688073,2936.0,701,700,1544,6.034953703703704,1190.0,15.755553113040698,1.0,1500.0
335,10024690201,11392.0,2625,2625,5177,6.115063657407408,1400.0,4.263476233783317,1.0,1500.0
338,10024699062,5807.0,558,558,3161,13.99375,1000.0,0.2410075926753017,1.0,1009.24
341,10024746853,4927.0,278,278,2722,7.0727835648148165,1260.0,9.829766298755649,1.0,1500.0
342,10024818646,2744.0,381,271,215,5.4364583333333325,1074.0,7.8766775030213,1.0,1200.0
344,10025004983,60825.0,10095,8702,36900,12.567002314814815,1100.0,5.7518309391938605,1.0,1317.84
346,10025005641,27074.0,3050,2720,15184,12.125567129629633,1000.0,0.4129951157305556,1.0,1013.72
347,10025008882,6136.0,378,376,3514,6.075925925925926,1275.0,10.601143840651163,1.0,1500.0
349,10025073228,4850.0,944,525,2171,6.138368055555557,720.0,23.12413383488418,1.0,1000.0
351,10025097532,7410.0,3035,2796,5137,14.149050925925927,800.0,6.449195813748795,1.0,1000.0
354,10025113993,967.0,254,216,609,6.057743055555553,750.0,20.08448782836476,1.0,1000.0
355,10025117118,2265.0,598,257,614,5.994704861111113,1110.0,22.544670968772092,1.0,1521.0
356,10025119437,4120.0,994,682,2153,6.048900462962963,1120.0,20.473024225236614,1.0,1500.0
